Titulo,Duracion,Anio_estreno,Tipo,Genero,Actores,Plataforma
Alien TV,2,2021,TV Show,"Kids' TV, TV Comedies","Rob Tinkler, Julie Lemieux, John Cleland, Kyle Dooley, Rupert Degas",Netflix
Alien Uprising,101,2013,Movie,"Action, Science Fiction","Jean-Claude Van Damme, Bianca Brigitte VanDamme, Sean Brosnan",Amazon
Alien Warfare,88,2019,Movie,"Action & Adventure, Sci-Fi & Fantasy","Clayton Snyder, David Meadows, Daniel Washington, Scott C. Roe, Larissa Andrade, Sal Rendino, Jose Guns Alves, Scott King",Netflix
Alien Worlds,1,2020,TV Show,"British TV Shows, Docuseries, International TV Shows",Sin dato,Netflix
Alien Xmas,42,2020,Movie,Children & Family Movies,"Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo, Michelle Deco, Barbara Goodson",Netflix
Alienated,99,2021,Movie,"Romance, Science Fiction","Michael Aaron Carico, Gracie Lacey, Paul Hayes, Daniel Wilkinson, David Croley Broyles, Nomsa L. Mlambo",Amazon
Aliens Ate My Homework,90,2018,Movie,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","William Shatner, Dan Payne, Kirsten Robek, Ty Consiglio, Sean McNamara, Christian Convery, Jayden Greig, Lauren McNamara, Alex Zahara, Sandy Robson",Netflix
Aliens Stole My Body,88,2020,Movie,"Children & Family Movies, Comedies","Jayden Greig, Lauren McNamara, Dan Payne, Alex Zahara, Sean Quan, Kirsten Robek, Ty Consiglio, Christian Convery, Sandy Robson, Christina Meredith Lewall, George Takei",Netflix
Aliens of the Deep,100,2005,Movie,"Action-Adventure, Animals & Nature, Documentary","Dr. Anatoly Sagalevitch, Genya Chernaiev, Victor Nischeta, Dr. Pamela Conrad, Dr. Arthur Lane, Dr. Jim Childress",Disney
Alison,60,2017,Movie,"Documentary, Special Interest","Christia Visser, Alison Botha, Zak Hendrikz, Francois Maree, De Klerk Oelofse",Amazon
Alive,67,2019,Movie,Documentaries,Sin dato,Hulu
Alive,99,2020,Movie,"Horror Movies, International Movies, Thrillers","Yoo Ah-in, Park Shin-hye",Netflix
Alive and Kicking,89,2016,Movie,Documentaries,Sin dato,Netflix
Alive and Kicking,0,2016,Movie,"Documentaries, Music",Sin dato,Hulu
All About E,0,2015,Movie,"Comedy, Drama, LGBTQ+",Sin dato,Hulu
All About Love,79,2017,Movie,"Dramas, International Movies, Romantic Movies","Chris Attoh, Katlego Danke, Enyinna Nwigwe, Nomzamo Mbatha, Richard Lukunku, Zenande Mfenyane, Leroy Gopal, Angela Sithole",Netflix
All About My Mother,101,1999,Movie,"Drama, International","Marisa Peredes, Penelope Cruz, Candela Pena, Cecilia Roth, Rosa Maria Sarda, Antonia San Juan",Amazon
All About Nina,101,2018,Movie,"Comedy, Drama",Sin dato,Hulu
All About Nina,101,2018,Movie,"Comedies, Dramas, Independent Movies","Mary Elizabeth Winstead, Common, Kate del Castillo, Chace Crawford, Jay Mohr, Beau Bridges, Clea DuVall, Melonie Diaz, Camryn Manheim, Mindy Sterling, Angelique Cabral, Nicole Byer, Todd Louiso, Elizabeth Masucci, Sonoya Mizuno, Charlotte Newhouse, Victor Rasuk, Andree Vermeulen",Netflix
All About Sex,104,2021,Movie,"Comedy, Drama","Dillon Lane, Natalee Linez, Emma Deckers, Matt Angel, Dakota Gorman, Chris Costanzo, Parvesh Cheena, Cate Cohen, Sterling Sulieman, James Hyde, Anisha Adusumilli, Joey Vahedi, Dusty Warren, Teagan Sirset, Sean Riggs, Michaela Sasner, Madeleine Gardella, Ryan W. Garcia, Oscar Fleming, Graham Outerbridge",Amazon
All About Steve,99,2009,Movie,Comedy,"Sandra Bullock, Thomas Haden Church, Bradley Cooper, Ken Jeong, Dj Qualls, Howard Hesseman, Keith David, Beth Grant",Amazon
All About the Washingtons,1,2018,TV Show,TV Comedies,"Joseph Simmons, Justine Simmons, Kiana Ledé, Nathan Anderson, Leah Rose Randall, Maceo Smedley, Quincy Fouse, DJ Ruckus, Adain Bradley, Tim Meadows, Daymond John, Erick Chavarria, Christopher Clarke, Aubrey Cleland, Arsenio Hall, Stephen Schneider, Max Goudsmit, Noah Gerry, Jamie VanDyke, Ashleigh Hairston",Netflix
All American,3,2021,TV Show,"TV Dramas, Teen TV Shows","Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane",Netflix
All Babes Want To Kill Me,81,2006,Movie,Comedy,"Colin Miller, Gianni Lazuli, Alex Cain",Amazon
All Because of You,102,2020,Movie,"Action & Adventure, Comedies, International Movies","Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii, Nam Ron, Theebaan Govindasamy, Taufiq Hanafi, Hafizul Kamal, Josiah Hogan, Sophia Albarakbah, Sugeeta Chandran, Anna Jobling",Netflix
All Creatures Big and Small,81,2015,Movie,"Action, Animation, Kids","Martin Sheen, Amy Grant, Callum Maloney, Ava Connolly",Amazon
All Creatures Here Below,91,2019,Movie,"Drama, Suspense","Karen Gillan, David Dastmalchian, Jennifer Morrison, David Koechner, Richard Cabral",Amazon
All Day and a Night,122,2020,Movie,"Dramas, Independent Movies","Jeffrey Wright, Ashton Sanders, Regina Taylor, Yahya Abdul-Mateen II, Isaiah John, Kelly Jenrette, Shakira Ja-nai Paye",Netflix
All Dogs Go to Heaven,85,1989,Movie,Children & Family Movies,"Dom DeLuise, Burt Reynolds, Daryl Gilley, Candy Devine, Charles Nelson Reilly, Vic Tayback, Melba Moore, Judith Barsi, Rob Fuller, Earleen Carey, Anna Manahan, Nigel Pegram, Loni Anderson, Ken Page, Godfrey Quigley",Netflix
All For Love,1,2020,TV Show,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Ana María Estupiñán, Carlos Torres, Yuri Vargas, Jim Muñoz, Julio Sánchez Cóccaro, Alina Lozano, Valeria Gálviz, Juan Millán, Juan del Río, Mario Duarte",Netflix
All Good Ones Get Away,83,2019,Movie,"International Movies, Thrillers","Claire Forlani, Jake Abel, Titus Welliver, Melina Matthews",Netflix
All Good Things,101,2010,Movie,"Drama, Romance, Suspense","Ryan Gosling, Kirsten Dunst, Frank Langella, Philip Baker Hall",Amazon
All Hail King Julien,5,2017,TV Show,"Kids' TV, TV Comedies","Danny Jacobs, Andy Richter, Henry Winkler, Kevin Michael Richardson, India de Beaufort, Jeff Bennett, David Krumholtz, Diedrich Bader, Debra Wilson, Sarah Thyre, Betsy Sodaro",Netflix
All Hail King Julien: Exiled,1,2017,TV Show,"Kids' TV, TV Action & Adventure, TV Comedies","Danny Jacobs, Andy Richter, Kevin Michael Richardson, India de Beaufort, Jeff Bennett, Maurice LaMarche",Netflix
All Hallows' Eve,92,2016,Movie,Kids,"Lexi Giovagnoli, Ashley Argota, John DeLuca, Diane Salinger, Tracey Gold, Martin Klebba, Dee Wallace",Amazon
All Hallows' Eve,92,2016,Movie,"Children & Family Movies, Independent Movies","Lexi Giovagnoli, Ashley Argota, John DeLuca, Diane Salinger, Martin Klebba, Tracey Gold, Dee Wallace, Pilot Paisley-Rose, Daniel Cooksley, Vincent Giovagnoli, Dillon Cavitt",Netflix
All In My Family,40,2019,Movie,"Documentaries, LGBTQ Movies",Sin dato,Netflix
All In: The Fight for Democracy,102,2020,Movie,"Documentary, Drama","Stacey Abrams, Ari Berman, David Pepper, Carol Anderson, Sean J. Young, Lauren Groh-Wargo, O.J. & Barbara Semans, Kristen Clarke, Michael Waldman, Desmond Meade, Eric Holder, Marcia Fudge, Alejandra Gomez, Eric Foner, Debo Adegbile, Jayla Allen, Michael Parsons, Luci Baines Johnson, Frances Fox Piven, Andrew Young, Bert Rein",Amazon
All Joking Aside,84,2020,Movie,"Comedy, Drama","Raylene Harewood, Brian Markinson, David Lewis",Amazon
All Light Will End,84,2018,Movie,"Horror Movies, Thrillers","Ashley Pereira, Alexandra Harris, Ted Welch, Sam Jones III, Sarah Butler, Andy Buckley, Graham Outerbridge, Michael James Thomas, John Schuck, Aaron Munoz",Netflix
All Marketplaces,7,1954,Movie,"Arts, Entertainment, and Culture, Drama, Horror",Sin dato,Amazon
All My Friends Are Dead,97,2020,Movie,"Comedies, Dramas, International Movies","Julia Wieniawa-Narkiewicz, Mateusz Więcławek, Adam Graf Turczyk, Monika Krzywkowska, Nikodem Rozbicki, Kamil Piotrowski, Adam Bobik, Paulina Gałązka, Magdalena Perlińska, Katarzyna Chojnacka, Konrad Żygadło, Szymon Roszak, Michał Sikorski, Aleksandra Pisula, Wojciech Łozowski, Michał Meyer, Adam Woronowicz",Netflix
All Night,1,2018,TV Show,"Comedy, Drama, Teen",Sin dato,Hulu
All Or Nothing: New Zealand All Blacks,1,2018,TV Show,"Documentary, Sports, Unscripted",Taika Waititi,Amazon
All Or Nothing: Toronto Maple Leafs,1,2021,TV Show,Sports,Sin dato,Amazon
All Over Town,64,1937,Movie,"Arts, Entertainment, and Culture, Comedy, Science Fiction","Ole Olsen, Chick Johnson, Mary Howard, Harry Stockwell, Franklin Pangborn",Amazon
All Roads Lead Home,113,2020,Movie,Drama,"Peter Coyote, Jason London, vivien Cardone, Peter Boyle, Patton Oswalt",Amazon
All Saints (1998),0,1998,Movie,"Drama, International",Sin dato,Hulu
All She Wishes,89,2014,Movie,Drama,"Lexi Giovagnoli, Calum Worthy, Diedrich Bader, Julia Duffy",Amazon
All Stars,103,2013,Movie,"Comedy, Kids","Theo Stevenson, Akai Osei, Ashley Jensen, Fleur Houdijk, Dominic Herman-Day",Amazon
All Summers End,87,2017,Movie,Drama,Sin dato,Hulu
All That Matters,80,2021,Movie,"Comedy, Romance","Christopher Martin, Pamela Ricardo, Monyetta Shaw, Jessica E. Brandon",Amazon
All That We Destroy,85,2019,Movie,"Horror, Thriller",Sin dato,Hulu
All The Bright Places,109,2020,Movie,"Dramas, Romantic Movies","Elle Fanning, Justice Smith, Luke Wilson, Keegan-Michael Key, Alexandra Shipp, Lamar Johnson, Virginia Gardner, Kelli O'Hara, Felix Mallard, Sofia Hasmik",Netflix
All The Men In My Life,77,2021,Movie,Romance,"Rochelle Aytes, Brian White, Obba Babatude",Amazon
All The Reasons To Forget,90,2017,Movie,"Comedies, Dramas, International Movies","Johnny Massaro, Bianca Comparato, Regina Braga, Maria Laura Nogueira, Victor Mendes, Thiago Amaral, Rafael Primot, Eduardo Mossri, Rita Batata, Larissa Ferrara",Netflix
All Things Bright and Beautiful,86,1994,Movie,Drama,"Tom Wilkinson, Ciaran Fitzgerald, Gabriel Byrne",Amazon
All Together Now,94,2020,Movie,Dramas,"Auli'i Cravalho, Justina Machado, Rhenzy Feliz, Fred Armisen, Carol Burnett, Judy Reyes, Taylor Richardson, C.S. Lee, Anthony Jacques",Netflix
All Together Now,2,2019,TV Show,"Documentary, Unscripted","Rob Beckett, Geri Horner",Amazon
All We Got,102,2021,Movie,Drama,"Aleshia Price, PJ Barnes, Natascha Adams, Keith Welborn, Leshea Nicole, Ole B Goode, Keith Williams, Debra Jackson, Daks McClettie, Nick Martinsen, Ashely Rae Harper, Eva Douglas, Elizabeth Byland, Jamie Flynn, Tracie Frank",Amazon
All Who Loved Her,94,2021,Movie,"Drama, Suspense","Maytlin Pezzo, Arthur De Larroche, Janice Blue, Clint Carmichael, Lara Helena, Andre Boyer",Amazon
All at Sea,89,2021,Movie,"Comedy, Drama","Brian Cox, Lauren Bacall, James Fox, Hege Shcøyen, Kåre Conradi, Ingrid Bolsø Berdal, Sverre Anker Ousdal",Amazon
All in a Nutshell,7,1949,Movie,"Animation, Family",Sin dato,Disney
All is Bright,107,2013,Movie,Comedy,"Paul Rudd, Paul Giamatti, Peter Hermann, Sally Hawkins, Halley Feiffer, Curtiss Cook, Amy Landecker",Amazon
All of Us,4,2003,TV Show,"Comedy, Sitcom",Sin dato,Hulu
All of You,104,2017,Movie,"Comedies, Dramas, International Movies","Jennylyn Mercado, Derek Ramsay, Yayo Aguila, Kean Cipriano, Nico Antonio, Enzo Marcos, Via Antonio, Hannah Ladesma",Netflix
All or Nothing,5,2020,TV Show,"Documentary, Sports, Unscripted","Zach Ertz, Brandon Graham, Doug Pederson, Jeffrey Lurie, Malcolm Jenkins, Carson Wentz",Amazon
All or Nothing (TV-14),5,2020,TV Show,TV Shows,"Jeffrey Lurie, Doug Pederson, Carson Wentz, Zach Ertz, Malcolm Jenkins, Brandon Graham",Amazon
All or Nothing: Brazil National Team,1,2020,TV Show,TV Shows,Sin dato,Amazon
All or Nothing: Manchester City,1,2018,TV Show,"Documentary, Special Interest, Sports",Ben Kingsley,Amazon
All or Nothing: The Michigan Wolverines,1,2018,TV Show,"Sports, Unscripted",Mark Harmon,Amazon
All or Nothing: Tottenham Hotspur,1,2020,TV Show,"Documentary, Sports, Unscripted",Sin dato,Amazon
All the Boys Love Mandy Lane,91,2006,Movie,Horror Movies,"Anson Mount, Edwin Hodge, Michael Welch, Brooke Bloom, Amber Heard, Aaron Himelstein, Whitney Able, Luke Grimes, Melissa Price",Netflix
All the Devil's Men,100,2018,Movie,Action & Adventure,"Milo Gibson, Sylvia Hoeks, Gbenga Akinnagbe, William Fichtner, Joseph Millson, Elliot Cowan, Perry Fitzpatrick, Warren Rusher",Netflix
All the Freckles in the World,90,2020,Movie,"Comedies, International Movies, Romantic Movies","Hánssel Casillas, Loreto Peralta, Andrea Sutton, Luis De La Rosa, Alejandro Flores, Anajosé Aldrete, Daniel Haddad, Montserrat Marañón, Juan Carlos Viana Prieto, Hernán Del Riego",Netflix
All the Little Animals,112,1999,Movie,"Action, Drama, Suspense","Christian Bale, John Hurt, Daniel Benzali",Amazon
All's Faire in Love,108,2009,Movie,Comedy,"Christina Ricci, Matthew Lillard, Ann-Margret, Cedric the Entertainer",Amazon
"All's Well, End's Well (2009)",99,2009,Movie,"Comedies, International Movies, Romantic Movies","Louis Koo, Sandra Ng Kwan Yue, Raymond Wong, Ronald Cheng, Yao Chen, Guo Tao, Heung Kam Lee, Chun Chau Ha, Miki Shum",Netflix
AllI Wish,95,2017,Movie,"Dramas, Romantic Movies","Sharon Stone, Tony Goldwyn, Liza Lapira, Ellen Burstyn, Jason Gibson, Famke Janssen, Caitlin Fitzgerald, Gilles Marini, Erica Ash, Tom Paolino",Netflix
Alles ist gut,90,2019,Movie,"Dramas, International Movies","Aenne Schwarz, Andreas Döhler, Hans Löw, Tilo Nest, Lina Wendel, Lisa Hagmeister",Netflix
Alley Cat,83,1970,Movie,Action,"Karin Mani, Robert Torti, Britt Helfer, Michael Wayne, Jon Greene, Jay Fisher, Claudia Decea, Tim Cutt, Jay Walker, Moriah Shannon",Amazon
Alley Cats Strike!,87,2000,Movie,"Coming of Age, Drama, Sports","Kyle Schmid, Robert Ri'chard, Kaley Cuoco, Mimi Paley, Joey Wilcots, Philip Williams",Disney
Alleyway,68,2021,Movie,"Action, Suspense","Luthuli Dlamini, Renos Spanoudes, Thabisile Zikhali, Bhekinkosi Mpofu, Jack Devnarain",Amazon
Allies,94,2014,Movie,Action,"Julian Ovenden, Chris Reilly, Matt Willis, Edmund Kingsley, Leon Vickers",Amazon
Allure,105,2018,Movie,"Drama, Suspense","Evan Rachel Wood, Julia Sarah Stone, Denis O'Hare",Amazon
Ally McBeal,5,1997,TV Show,"Classics, Comedy, Drama",Sin dato,Hulu
Alma Matters,1,2021,TV Show,"Docuseries, International TV Shows",Sin dato,Netflix
Almost Adults,0,2016,Movie,"Comedy, Drama, LGBTQ+",Sin dato,Hulu
Almost An Angel,95,1990,Movie,"Comedy, Drama, Faith and Spirituality","Paul Hogan, Elias Koteas, Linda Kozlowski",Amazon
Almost Angels,90,1962,Movie,"Coming of Age, Drama, Family","Vincent Winter, Sean Scully, Peter Weck, Hans Holt, Bruni Löbel, Fritz Eckhardt",Disney
Almost Family,1,2019,TV Show,Drama,Sin dato,Hulu
Almost Famous,161,2000,Movie,Drama,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee, Patrick Fugit, Anna Paquin, Fairuza Balk, Zooey Deschanel, Noah Taylor, Philip Seymour Hoffman",Amazon
Almost Happy,1,2020,TV Show,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Sebastián Wainraich, Natalie Pérez, Santiago Korovsky",Netflix
Almost Human,79,2014,Movie,"Horror, Science Fiction",Sin dato,Hulu
Almost Love,92,2020,Movie,"Comedies, Dramas, Independent Movies","Scott Evans, Augustus Prew, Kate Walsh, Michelle Buteau, Zoë Chao, Patricia Clarkson, Colin Donnell, Christopher Gray",Netflix
Almost Royal,2,2016,TV Show,TV Shows,Sin dato,Amazon
Alone,7,2015,TV Show,"Action, Adventure, Documentaries",Sin dato,Hulu
Alone,1,2019,TV Show,Reality TV,Sin dato,Netflix
Alone For Christmas,88,2013,Movie,Kids,"David DeLuise, Kim Little, Davis Cleveland",Amazon
Alone Together,2,2018,TV Show,"Comedy, Sitcom",Sin dato,Hulu
Alone With Her Dreams,100,2020,Movie,"Arthouse, Drama","Marta Castiglia, Lucia Sardo, Federica Sarno",Amazon
Alone in Berlin,103,2016,Movie,Dramas,"Emma Thompson, Brendan Gleeson, Daniel Brühl, Monique Chaumette, Joachim Bissmeier, Katrin Pollitt, Lars Rudolph, Uwe Preuss, Daniel Sträßer, Rainer Reiners, Mikael Persbrandt",Netflix
Alone/Together,103,2019,Movie,"Dramas, International Movies, Romantic Movies","Liza Soberano, Enrique Gil, Adrian Alandy, Jasmine Curtis-Smith, Sylvia Sanchez, Nonie Buencamino, Xia Vigor, Richard Manabat",Netflix
Alone: The Beast,1,2020,TV Show,"Action, Adventure, Reality",Sin dato,Hulu
Along Came a Spider,103,2001,Movie,Thrillers,"Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Anton Yelchin, Kim Hawthorne, Jay O. Sanders, Billy Burke, Michael Moriarty, Penelope Ann Miller",Netflix
Along with the Gods: The Last 49 Days,0,2018,Movie,"Action, Adventure, Science Fiction",Sin dato,Hulu
Alonzo Bodden: Heavy Lightweight,1,2019,TV Show,TV Shows,Alonzo Bodden,Amazon
Alonzo Bodden: Historically Incorrect,62,2016,Movie,"Arts, Entertainment, and Culture, Comedy, Special Interest",Alonzo Bodden,Amazon
Alonzo Bodden: Tall Dark And Funny,54,2005,Movie,"Arts, Entertainment, and Culture, Comedy, Special Interest",Alonzo Bodden,Amazon
Alonzo Bodden: Who's Paying Attention?,60,2011,Movie,"Arts, Entertainment, and Culture, Comedy, Special Interest",Alonzo Bodden,Amazon
Alpha House,2,2014,TV Show,"Comedy, Drama","John Goodman, Mark Consuelos, Matt Malloy, Clark Johnson, Yara Martinez",Amazon
Alpha and Omega,88,2010,Movie,"Adventure, Comedy, Family",Sin dato,Hulu
Alpha and Omega 2: A Howl-iday Adventure,45,2013,Movie,Children & Family Movies,"Ben Diskin, Kate Higgins, Blackie Rose, Lindsay Torrance, Liza West, Tracy Pfau, Bill Lader, Meryl Leigh, Shaun Gerardo",Netflix
Alpha and Omega 4: The Legend of the Saw Toothed Cave,45,2014,Movie,"Action, Adventure, Comedy",Sin dato,Hulu
Alpha and Omega: The Legend of the Saw Tooth Cave,45,2014,Movie,Children & Family Movies,"Debi Derryberry, Ben Diskin, Kate Higgins, Lindsay Torrance, Larry Thomas, Bill Lader, Cindy Robinson",Netflix
AlphaGo,90,2017,Movie,Documentaries,Sin dato,Netflix
Alphabet City,85,1984,Movie,Drama,"Vincent Spano, Michael Winslow",Amazon
Alphablocks,5,2014,TV Show,Kids' TV,"Teresa Gallagher, David Holt, Lizzie Waterworth",Netflix
Already Lucky,79,2018,Movie,"Comedy, Drama","Jake Red, Jill Evyn, Alyssa Brayboy, Trace Cyrus, Natalie Skyy",Amazon
Already Tomorrow in Hong Kong,0,2015,Movie,"Comedy, Romance",Sin dato,Hulu
Alt-Right: Age of Rage,106,2018,Movie,Documentaries,"Daryle Lamont Jenkins, Richard Spencer",Netflix
Altair: A Record of Battles,1,2017,TV Show,Anime,"Ayumu Murase, Makoto Furukawa, KENN, Junichi Suwabe, Katsuyuki Konishi",Amazon
Alter Ego,1,2021,TV Show,"Music, Reality",Sin dato,Hulu
Altered Carbon,2,2020,TV Show,"Crime TV Shows, TV Action & Adventure, TV Dramas","Joel Kinnaman, James Purefoy, Martha Higareda, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee, Kristin Lehman, Chris Conner, Ato Essandoh, Tamara Taylor, Byron Mann",Netflix
Altered Carbon: Resleeved,75,2020,Movie,"Action & Adventure, Anime Features, International Movies","Tatsuhisa Suzuki, Rina Satou, Ayaka Asai, Jouji Nakata, Kenji Yamauchi, Kanehira Yamamoto, Koji Ishii",Netflix
Alternate Nostril Breathing,7,2016,Movie,"Fitness, Special Interest",Anne-Marie Newland,Amazon
Altitude,88,2017,Movie,Action,"Dolph Lundgren, Denise Richards, Jonathan Lipnicki, Chuck Liddell",Amazon
Alvin and the Chipmunks,91,2007,Movie,"Animation, Comedy, Family","Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",Disney
Alvin and the Chipmunks: Chipwrecked,87,2011,Movie,"Comedy, Family, Music","Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",Disney
Alvin and the Chipmunks: The Road Chip,92,2015,Movie,"Comedy, Family, Music","Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",Disney
Always Be My Maybe,112,2016,Movie,"International Movies, Romantic Movies","Gerald Anderson, Arci Muñoz, Cacai Bautista, Ricci Chan, Tirso Cruz III, Carlo Aquino, Matt Evans, Ahron Villena, Victor Silayan, TJ Trinidad",Netflix
Always Greener,2,2003,TV Show,"Comedy, Drama","John Howard, Anne Tenney, Michala Banas, Daniel Bowden, Abe Forsythe, Natasha Lee, Scott Major, Caitlin McDougall, Bree Walters, Clayton Watson, Denise Roberts, Andrew Clarke, Georgie Shew, Peter Corbett, Merridy Eastman, Bree Desborough, Nathaniel Dean, Steven Rooke, Matt Passmore",Amazon
Always a Bridesmaid,98,2019,Movie,"Comedies, Romantic Movies","Javicia Leslie, Jordan Calloway, Richard Lawson, Yvette Nicole Brown, Michelle Mitchenor, Amber Chardae Robinson, Jasmin Brown",Netflix
Always a Witch,2,2019,TV Show,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Angely Gaviria, Sebastián Eslava, Luis Fernando Hoyos, Verónica Orozco, Lenard Vanderaa, Sofía Araujo, Dylan Fuentes, Valeria Emiliani, Dubán Prado, Carlos Quintero",Netflix
Amal,104,2008,Movie,Drama,"Rupinder Nagra, Naseeruddin Shah, Seema Biswas, Koel Purie, Vik Sahay, Roshan Seth",Amazon
Amalia in the Fall,78,2021,Movie,Drama,"María José Alfonso, Manuel Zarzo, Máximo Valverde, María Gracia, Tony Antonio, Pablo Castañón, Saturnino García",Amazon
Amanda Knox,92,2016,Movie,Documentaries,Sin dato,Netflix
Amandla! A Revolution in Four Part Harmony,103,2002,Movie,"Documentaries, International Movies, Music & Musicals","Miriam Makeba, Hugh Masekela, Abdullah Ibrahim, Duma Ka Ndlovu, Sibongile Khumalo, Vusi Mahlasela, Thandi Modise, Sifiso Ntuli, Sibusiso Nxumalo, Dolly Rathebe, Lindiwe Zulu",Netflix
Amar,104,2017,Movie,"Dramas, International Movies, Romantic Movies","María Pedraza, Pol Monen, Natalia Tena, Nacho Fresneda, Greta Fernández, Gustavo Salmerón, Celso Bugallo, Sonia Almarcha, Marta Belenguer",Netflix
Amar Akbar & Tony,92,2015,Movie,"Comedies, Dramas, International Movies","Rez Kempton, Sam Vincenti, Martin Delaney, Karen David, Laura Aikman, Goldy Notay, Meera Syal, Nina Wadia, Tanveer Ghani, Amrita Acharia",Netflix
Amar Akbar Anthony,148,2018,Movie,"Drama, International","Ravi Teja, Ileana D’Cruz",Amazon
Amar Akbar Anthony,172,1977,Movie,"Action & Adventure, Classic Movies, Comedies","Vinod Khanna, Rishi Kapoor, Amitabh Bachchan, Neetu Singh, Parveen Babi, Shabana Azmi, Nirupa Roy, Pran",Netflix
Amar Shaheed Bhagat Singh,131,1973,Movie,Drama,"Som Dutt, Dara Singh",Amazon
Amar's Hands,125,2011,Movie,"Dramas, International Movies","Ghadah Abdulrazeq, Wafaa Amer, Hassan El Raddad, Houria Farghally, Sabry Fawwaz",Netflix
Amateur,96,2018,Movie,"Dramas, Independent Movies, Sports Movies","Michael Rainey Jr., Josh Charles, Brian White, Sharon Leal, Ashlee Brian, Corey Parker Robinson",Netflix
Amateur Night,89,2014,Movie,Comedy,"Jason Biggs, Ashley Tisdale, Janet Montgomery, Bria Murphy, Jenny Mollen",Amazon
Amazing Christmas Recipes For Kids,26,2019,Movie,"Kids, Special Interest",Sin dato,Amazon
Amazing Grace,89,2018,Movie,"Black Stories, Documentaries, Music",Sin dato,Hulu
Amazing Grace (1974),98,1974,Movie,Comedy,"Jackie ""Moms"" Mabley, Slappy White, Rosalind Cash, Moses Gunn, Butterfly McQueen",Amazon
Amazing Interiors,1,2018,TV Show,"British TV Shows, International TV Shows, Reality TV",Sin dato,Netflix
Amazon Funnies – 10 Minute Stand-ups,1,2020,TV Show,"Arts, Entertainment, and Culture, Comedy",Sin dato,Amazon
Amazon Jack,76,2014,Movie,"Animation, Kids",Sin dato,Amazon
"Amazon Music Presents: The L, I Will Find You No Matter What",31,2017,Movie,"Animation, Kids, Music Videos and Concerts",Sin dato,Amazon
"Amazon Originals Presents: Shawn Colvin, The Starlighter",24,2018,Movie,"Animation, Kids, Music Videos and Concerts",Sin dato,Amazon
Amazon Riders,2,2018,TV Show,"Action, International","Mitsutoshi Shundo (Makoto Shido), Ayana Shiramoto (Iyu), Eiji Akaso (Hiroki Nagase), Kairi Miura (Takumi Yamashita), Takako Kato (Reika Mizusawa), Kanon Miyahara (Takai Nozomi), Katsuya (Misaki Kazuya), Toshimasa Komatsu (Kano Shogo), Rena Takeda(Mizusawa Mizuki), Takashi Fujiki (Tenjo Takaaki), Jun Yamasaki (Hoshino Hajime), Kazuya Tanabe (Kota Fukuda), Ayu Higashi (Nanaha Izumi), Yu Kamio (Tachibana Yuugo), Ryota Kobayashi (Mamoru), Yoshito Momiki (Ichiro Fudamori), Tom Fujita (Haruka Mizusawa), Shohei Domoto (Kenta Kitamura), You Maejima (Chihiro), Kota Miura (Kurosaki Takeshi), Masashi Taniguchi (Jin Takayama)",Amazon
Amber's Descent,92,2021,Movie,"Horror, Suspense","Kayla Stanton, Michael Mitton, Don Knodel, Nathaniel Vossen, Dione Russell, Colm Hill",Amazon
Ambili,138,2019,Movie,"Comedy, Drama, International","Soubin Shahir, Naveen Nazim, Tanvi Ram",Amazon
Ambiquity,86,2021,Movie,Drama,Tony Goodman Aik Odiase Nazareth Jason,Amazon
Ambulance Australia,2,2019,TV Show,"Documentary, Special Interest",Lisa Wilkinson,Amazon
Ambush at Dark Canyon,95,2012,Movie,"Action, Western","Kix Brooks, Ernie Hudson, Abraham Benrubi, Timothy V. Murphy",Amazon
Amelia: A Tale of Two Sisters,44,2017,Movie,Documentaries,Rachael Stirling,Netflix
Ameluk - based on a story which could be true,98,2015,Movie,Comedy,"Rosanna Banfi, Paolo Sassanelli, Mehdi Mahdloo Torkaman, Mimmo Mancini, Claudia Lerro, Cosimo Cinieri, Francesca Giaccari, Dante Marmone, Roberto Nobile, Luigi Angiuli, Nadia Kibout, Pascal Zullino, Hedy Krissane, Miloud Mourad Benamara, Michele De Virgilio, Massimo Bagnasco",Amazon
